id_artigo,title,authors,year,doi,abstract,journal,nivel_burocracia,metodo,setor_politica,dimensao_teorica,relacao_politica_burocracia,explicacao_arranjo,consequencia_arranjo,valoracao_burocracia,enquadramento_normativo,grau_agencia,referencia_federal,escopo_empirico
11,Reformar à esquerda: a administração pública gerencial em prefeituras petistas,"Fontoura, Leandro Heitich",2018,https://doi.org/10.1590/0034-761220170267,"Abstract For two decades, the Brazilian Workers’ Party (PT) has held a tough critic regarding the state reform carried out by Fernando Henrique Cardoso (Brazilian Social Democracy Party - PSDB) during his mandate. According to the PT’s narrative, the Managerial Public Administration is a neoliberal and conservative policy, and it cannot be politically conducted by the left wing. This article shows a review of PT’s antireform narrative. In face of urban problems, public bureaucracy barriers and increasing social demands, it is possible to observe mayors of the PT implementing policies associated with the ones advocated by the PSDB to modernize management and make it more efficient and effective. This scenario was verified in five Brazilian municipalities, through qualitative research with mayors and municipal secretaries in the areas of planning, budget, administration and management.",Revista de Administração Pública,Geral,qualitativo,,,,,,,,,,
12,The transformative capacity of the Brazilian federal government in building a social welfare bureaucracy in the municipalities,"Sátyro, Natália Guimarães Duarte; Cunha, Eleonora Schettini Martins",2018,https://doi.org/10.1590/0034-7612151018,"Abstract The article analyzes the transformative capacity of the Ministry of Social Development and Fight against Hunger (MDS) in shaping structural change in Brazilian municipalities. The study is based on the concepts of organizational and institutional learning, on a combination of analytical categories of the institutional and neo-institutional approaches and on traditional means of government control. As for methodology, this study used process tracing, in-depth interviews, and documentary analysis of regulations, decrees, and resolutions that create direct and indirect incentives to induce agreements and cooperation of municipalities with the Ministry. We identified two important causal mechanisms: a) organizational and institutional learning processes; and b) inter-federative cooperation that, combined, generated significant changes in municipal bureaucratic capacity. The findings show the importance of the Union’s transformative capacity in the process of public policy decentralization in Brazil.",Revista de Administração Pública,Alto escalão,qualitativo,,,,,,,,,,
13,O papel da burocracia de nível de rua na implementação e (re)formulação da Política Nacional de Humanização dos serviços de saúde de Porto Alegre (RS),"Lima, Luciana Leite; D’Ascenzi, Luciano",2017,https://doi.org/10.1590/0034-7612145223,"Abstract This article analyzes the implementation of the National Humanization Policy in basic health units of Porto Alegre. For this, we analyzed interaction that emphasizes the process of mutual influence between the planning of public policy and characteristics of local implementation. Thus, this perspective is from the context of operations of street-level bureaucracies, emphasizing the role played by its discretion. The study was qualitative with the use of primary and secondary data. We examined implementers, given the lack of training in the policy framework, as well as perceptions on the lack of resources and low levels of support, which forged a peculiar understanding of the goals and strategies of public policy. They created a vision of what it would mean to humanize the service when adjusted to local preferences and needs.",Revista de Administração Pública,Nível de rua,qualitativo,,,,,,,,,,
14,Modernização do Estado e construção de capacidade burocrática para a implementação de políticas federalizadas,"Souza, Celina",2017,https://doi.org/10.1590/0034-7612150933,"Abstract This article analyses the process of the state modernization in Brazil, associating it with the concept of state capacity, in particular the professionalization of the federal bureaucracy in charge of conceiving and implementing public policies. The article concludes that, despite multiple mechanisms used by different governments and political regimes to recruit their bureaucracies, the federal Executive has always been capable of generating the capacity to implement the policies of its choice. Over the past two decades, however, the federal Executive has recruited its bureaucracy primarily through public sector entrance examinations. As result, Brazil today has a consolidated bureaucracy that is involved in overseeing rules, procedures and fiscal controls, but that is still incomplete in some areas of public policy. These new features of the federal bureaucracy suggest that certain characteristics of the Weberian bureaucracy have indeed been created but others are still awaiting institutionalization, which therefore affects the capacity of the state in implementing certain policies.",Revista de Administração Pública,Nível de rua,quantitativo,,,,,,,,,,
15,Transparência no setor público: uma análise dos relatórios de gestão anuais de entidades públicas federais no ano de 2010,"Bairral, Maria Amália da Costa; Silva, Adolfo Henrique Coutinho e; Alves, Francisco José dos Santos",2015,https://doi.org/10.1590/0034-7612125158,"The present study analyzes the level of public transparency in the annual reports of federal public bodies and the incentives (political, institutional, governmental, social and financial) which can affect the disclosure of public information. It approached the Agency Theory and the need for public accountability in the disclosure of information, since government managers may provide incomplete information (agency conflict). Accordingly a greater transparency of public information may serve as a way of approaching the principal (citizens) and the agent (public officer). We carried out an empirical research, quantitative, which analyze the level of transparency presented in the 2010´s annual reports of 115 federal public entities. For this purpose, an index of federal public transparency was constructed, based on international studies, in order to verify the level of disclosure presented on the annual reports and the incentives that affect disclosure. The results indicate a moderate level of public transparency (48%), deficiency of compliance with mandatory disclosure (80%) and low adherence to voluntary disclosure practices (19%). Regarding incentives to disclosure, a positive relationship of the entity type, accessibility and personnel demographic with the public transparency index was observed, while public bureaucracy showed a significant relationship, but negative. Meanwhile the size, size of core management, budgetary revenues and federal dependency does not influence the disclosure of public information in the annual reports.",Revista de Administração Pública,Alto escalão,quantitativo,,,,,,,,,,
16,Trajetória e avaliação dos programas federais brasileiros voltados a promover a eficiência administrativa e fiscal dos municípios,"Grin, Eduardo José",2014,https://doi.org/10.1590/0034-76121399,"The article deals of the path of programs of federal government dedicated to administrative and fiscal modernization of Brazilian cities since the 30s. The focus in this text, however, is the programs implemented during Fernando Henrique's government (1995-2002) and Lula's government (2003-10) aimed at to increase the administrative and fiscal capacities in the cities. The central argument is about these programs having always been designed and implemented by federal bureaucracies proposing solutions for municipalities that represent the ""modernizing"" vision of the central government to management problems of local governments. These initiatives have duplicated efforts and don't help to envisage the municipal administrative failures, which limited its reach and generated few results since their return in the agenda of the federal government from 1997.",Revista de Administração Pública,Nível de rua,quantitativo,,,,,,,,,,
17,O processo de institucionalização da participação na Câmara Municipal de São Paulo: uma análise das audiências públicas do orçamento (1990-2010),"Brelàz, Gabriela de; Alves, Mário Aquino",2013,,"This article discusses the process of institutionalization of civil society participation in the City House of São Paulo (CHSP) in budget public hearings from 1990 to 2010 under the gaze of institutionalism in organization theory, stressing microfoundations and cognitive and cultural explanations. Autopoietic systems are identified: legislative power, executive power, civil society and bureaucracy of CHSP and regulative, normative and cultural-cognitive variables in the process. We conclude that, despite institutionalized, the participation in the CHSP encounters normative and cultural-cognitive limitations that shape participation in accordance with existing standards of conduct in the interaction between parliament members and society, sedimenting budgetary clientelism.",Revista de Administração Pública,Geral,nao identificado,,,,,,,,,,
18,Burocratas da linha de frente: executores e fazedores das políticas públicas,"Oliveira, Antonio",2012,,"The relation between policy implementation, organization and bureaucracy is relevant because it illuminates the face of a crucial problem: why the policies have success or fail. The analyses of this relation indicate that the discretion of the street-level bureaucrats is a decisive factor in the delivery of the public goods and public services; therefore the action of these agents is important for the success of the policies. This article intends to discuss the discretion of the street-level bureaucrats in the application of the public policy and examines the presented arguments in the specialized literature: implementation, bureaucracy, organization. The conclusion indicates questions that are important to the control of the discretionary power of the public agents, underlining that this discretion is necessary condition to the application of the policies, but that it threat the accountability and the responsiveness.",Revista de Administração Pública,Alto escalão,nao identificado,,,,,,,,,,
19,Controle burocrático e suporte organizacional no setor público: efeitos mediados pelo empoderamento psicológico no engajamento,"Campos, Waleska Yone Yamakawa Zavatti; Cavazotte, Flávia de Souza Costa Neves",2023,https://doi.org/10.1590/0034-761220220301,"Abstract The study investigates how bureaucratic control and organizational support affect the civil servant’s work engagement and the mediating role of psychological empowerment. The research adopted a quantitative approach using data collected from 159 public servants of Brazilian courts of accounts, with subsequent application of exploratory factor analysis, parceling techniques, confirmatory factor analysis, and ordinary least squares regression (OLS). The results show a negative mediation of psychological empowerment in the relationship between bureaucratic control and work engagement and a partial and positive mediation between organizational support and work engagement. Thus, psychological empowerment constitutes an important mechanism through which civil servants react to characteristics of the work context, being weakened in situations of exacerbated bureaucratic control or lack of organizational support, with consequences for the level of enthusiasm and dedication. The findings are discussed in light of their theoretical and practical implications for management in the public sector.",Revista de Administração Pública,Geral,quantitativo,,,,,,,,,,
20,Regras importam: determinantes do controle burocrático no Programa Bolsa Família,"Coêlho, Denilson Bandeira; Fernandes, Antônio Sérgio Araújo",2017,https://doi.org/10.1590/0034-7612148139,"Abstract The literature on the Bolsa Família Program has focused on issues such as the impact on poverty and inequality, the effects related to the electoral process and the role of conditionalities. However, the Bolsa Família Program is also associated with a problem of principal-agent relationship, because it requires the effective control of a set of rules for its operation. In the national literature, little has been produced on the effect of formal rules as instruments for political actors’ behavioral modeling. The proposal here is to explore the role of the federal and local bureaucracies in public policies management in a highly decentralized federation. In order to test how factors of policy, institutional and geographical nature influence the intersectoral management of the program, the study uses multiple linear regression models for a comparative analysis between about 5.500 cities. The results show that variables such as political competition and regional location positively impact the quality of management. The study concludes that the effective application of rules was crucial to generate institutional learning among actors involved in the policy.",Revista de Administração Pública,Geral,quantitativo,,,,,,,,,,
21,Innovation policy dismantling: strategies and causes in contemporary Brazil,"Cavalcante, Pedro Luiz Costa",2024,https://doi.org/10.1590/0034-761220220358x,"Abstract This paper analyzes the policy dismantling process in the Brazilian innovation system since mid-2010. The research describes how this policy change has been undertaken and explains the strategies deployed and major causes. The study is theoretically grounded in the debate of policy dismantling, meaning changes that result in cuts, reductions, or even abolition of budget, rules, capacities, and instruments of a governmental area. A mixed-methods approach, both quantitative and qualitative, is employed. First, it examines the dismantling process in the last years, focusing on the budget execution patterns of the major policy instruments and agencies in charge of innovation at the federal level. The research relies on the stakeholders’ perception by conducting semi-structured interviews with experts regarding strategies, rationale, reactions, and effects. The empirical findings show the dismantling occurs in both dimensions: density (number of tools reduced) and, mainly, the intensity (budget cuts), varying according to government areas. The interviewees highlighted the prevailing strategy as active dismantling, in which the fiscal austerity aggravated by the COVID-19 crisis, an ideological shift in the government coalition, policy particularities, and a low level of prioritization in innovation by the domestic business community are the main factors that affect the politicians’ preferences to dismantle. Finally, the process seriously affects the national innovation system, such as the loss of bureaucratic and policy capacity, brain drain, and lag in technology, productivity, and consequently, in the country’s economic performance.",Revista de Administração Pública,Nível de rua,metodos mistos,,,,,,,,,,
22,Estratégias intersetoriais de gestão municipal de serviços de proteção social: a experiência de Belo Horizonte,"Veiga, Laura da; Bronzo, Carla",2014,https://doi.org/10.1590/0034-76121453,"The prospects of the bureaucratic public administration or those of the new public management are in check and new governance structures are needed so that governments achieve greater effectiveness when addressing wicked problems - such as poverty, for instance -, which do not accept linear or unisectoral solutions. The article analyzes the experience of the BH Citizenship Program, conducted by the city government of Belo Horizonte since 2002, a strategy for intersectoral articulation between services and sectors at the tip to expand the possibilities of more effective actions for social inclusion. The article evidences the design of intervention and explores the challenges and advances of this management strategy that can be configured as an example of good governance in the domain of local policies for social protection.",Revista de Administração Pública,Alto escalão,nao identificado,,,,,,,,,,
23,A reforma gerencial do orçamento brasileiro: em busca de múltiplos significados,"Barcelos, Carlos Leonardo Klein; Calmon, Paulo Carlos Du Pin",2014,,"This paper aims to examine the decision-making process that resulted in the managerial reform of the Brazilian budget (RGO), which took place in 2000. Having the narrative structure as basis - a technique developed by Barzelay and partners (2001) -, we organize the main events of RGO, in order to interpret them according to the reference framework proposed by Allison and Zelikow (1999), who profess the existence of three paradigms, or ""models"", in the analysis of government decision-making process: the Rational Actor Model (Model I), the Organizational Behavior Model (Model II), and the Bureaucratic Policy Model (Model III). This case study suggests that examining the decision-making process of the Brazilian public sector, by means of multiparadigmatic models, provides a richer and broader panorama of the factors affecting decision-making and government institutional change.",Revista de Administração Pública,Geral,qualitativo,,,,,,,,,,
24,Problemas de agência no setor público: o papel dos intermediadores da relação entre poder central e unidades executoras,"Oliveira, Clara Brando de; Fontes Filho, Joaquim Rubens",2017,https://doi.org/10.1590/0034-7612171397,"Abstract This article aims to identify the effects of mid-level bureaucrat’s allocation in the intermediation of relations between the main authority of a city’s executive branch and the city’s secretariat, considering the principal-agent relationship in public administration. The study interviewed analysts responsible for goal and project management who mediate the agency relationship between the Chief of Staff and the executive bodies implementing projects put forward by Rio de Janeiro’s City Hall, in order to examine the effects of the analysts’ intermediation in terms of reducing agency problems. The agency problems referred to in the article are due to public administration’s hierarchical structure, resulting from the differences in motivation and goals of the actors, information asymmetries, risk propensity and different planning horizon. Results show this intermediation is positive to reduce agency problems, impacting in terms of difference in motivation and information asymmetries.",Revista de Administração Pública,Geral,qualitativo,,,,,,,,,,
25,Comportamento e desempenho de burocratas de nível de rua: um estudo na Polícia Rodoviária Federal,"Silva, Marcelo Rodrigues da; Vieira, Daniel Pires; Lotta, Gabriela; Rocha Neto, João Mendes",2024,https://doi.org/10.1590/0034-761220230210,"Abstract The literature on Street-Level Bureaucracy (SLB) points to several behavioral motivators that influence their performance, such as Discretion, Self-interest, Norms, and Public Interest. Although these aspects occur simultaneously, there are no studies on which behavioral motivators are decisive for the performance of SLB. This research aims to analyze the influence of the interaction of different behavioral motivators of the SLB in their performance in implementing public policies. To achieve the proposed objective, a structured questionnaire was applied to 10,014 Federal Highway Police officers active during the research period, with 426 respondents. Data were analyzed using structural equation analysis. The results showed that Discretion, Norms, and Public Interest were positively associated with Operating Performance. For Institutional Performance, only the Norms and Public Interest dimensions were positively associated. The results indicate that the relevance of the different behavioral motivators of the SLB varies according to the performance variable observed and reiterate the asymmetry of perceptions between the different organizational levels.",Revista de Administração Pública,Nível de rua,quantitativo,,,,,,,,,,
26,Dois pesos e duas medidas na sala de aula: análise das redes sociossemânticas de categorização operadas por professores,"Lotta, Gabriela; Kirschbaum, Charles",2022,https://doi.org/10.1590/0034-761220200633,"Abstract This article analyzes categories operated by bureaucrats when classifying types of users and their effects on the distribution of services, observing contexts of high inequality and universal policies. We analyze how teachers, as street-level bureaucrats, implement the policy by categorizing different types of students. We adopt an analytical lens of cultural schemes, which considers that individuals internalize associations between official and social (informal) categories from their experiences. The analyzed data were collected through vignettes applied to 40 teachers from the municipal education system of São Paulo, Brazil. We analyzed the use of categories through socio-semantic and semantic networks of categorizations and the construction of referral networks. The results show that teachers simultaneously mobilize political and social categories and that the introduction of the variable vulnerability in cases opens space for the introduction of social categories that generate different types of treatment for students with similar behaviors.",Revista de Administração Pública,Nível de rua,quantitativo,,,,,,,,,,
27,Street-level bureaucracy in the pandemic: the perception of frontline social workers on policy implementation,"Lima-Silva, Fernanda; Sandim, Tatiana Lemos; Magri, Giordano Morangueira; Lotta, Gabriela",2020,https://doi.org/10.1590/0034-761220200529x,"Abstract The COVID-19 pandemic highlighted the strategic role of social care policy to minimize the effects of this health crisis and its consequences on the poorest and most vulnerable population. This article analyzes the perception of street-level bureaucrats in the Brazilian social care network on how the pandemic has affected their performance and professional routine. The research was based on a survey, consultations with representatives of municipal social care services, and analysis of government regulations. The results show that social workers feel unprotected and unable to provide adequate responses to the pandemic’s increasing and urgent demands, revealing a lack of institutional support to act appropriately. The professionals also reported substantial changes in their working dynamics, particularly in their relationship with the attended population, one of the main pillars of the Brazilian social care network. These elements directly affect the provision of social care services and their potential to combat the adverse effects of the crisis.",Revista de Administração Pública,Nível de rua,quantitativo,,,,,,,,,,
28,Diffusion and adaptation of the regulatory agency model in Brazil,"Holperin, Michelle Moretzsohn",2019,https://doi.org/10.1590/0034-761220170384x,"Abstract This article examines the diffusion of independent regulatory agencies (IRAs) in Brazil, demonstrating how important domestic factors interplayed with traditional mechanisms of diffusion lead to an expressive process of agencification. Although top-down, bottom-up and horizontal mechanisms played an important role in the Brazilian agencification process, they fail to explain the creation of IRAs in unexpected sectors or the frequent modifications that occurred at subnational levels in a short period of time. To understand how local political actors adapted the regulatory agency model to the Brazilian institutional legacies, field research was conducted, based on bibliographical, documental, and interviews with key political actors. The specificities of Brazilian federalism and the strategic role of the film industry, bureaucrats and politicians in (re)interpreting the agency model helped to boost the diffusion of IRAs in Brazil.",Revista de Administração Pública,Geral,qualitativo,,,,,,,,,,
29,Implementação da política de saúde pública e seus desafios na era digital,"Mendes, Vera Lúcia Peixoto Santos; Aguiar, Fábio Campos",2017,https://doi.org/10.1590/0034-7612169426,"Abstract This article analyzes the implementation of public policy on regulation of beds in intensive care units, considering the formulated policy, the institutional conditions and the strategies used by the state and municipalities of Bahia, Brazil. A literature review is carried out, based on the rational choice institutionalism, as well as a qualitative study with three groups of street-level bureaucrats. Results show a gap between the policies formulated and implemented and the influence of bureaucrats in the implementation of public policies in health. In addition, the research observed the use of information and communication technology such as social media (WhatsApp) as regulation strategies. The informal control and assignment of beds using WhatsApp is a clientelistic strategy, indicating that, even under the aegis of the managerial state, clientelistic and patrimonial practices persist.",Revista de Administração Pública,Nível de rua,qualitativo,,,,,,,,,,
30,Inteligência artificial nas organizações públicas brasileiras: heterogeneidades e capacidades em tecnologia da informação,"Ribeiro, Manuella Maia; Segatto, Catarina Ianni",2025,https://doi.org/10.1590/0034-761220240066,"Abstract There is a growing debate about public organizations adopting artificial intelligence (AI), including its different technologies and techniques, as well as its effects on bureaucratic decisions. However, few studies have analyzed the characteristics associated with adopting these different types of AI technologies and techniques in the public sector. Furthermore, there is a gap in studies discussing AI adoption in the public sector in the Brazilian context. This article analyzes the AI technologies and techniques adopted by Brazilian governmental agencies and their association with characteristics related to information technology (IT) capabilities. Based on an analysis of microdata from the ICT Electronic Government 2021 Survey, this study shows that Brazilian government agencies have adopted AI technologies and techniques. However, this process is still restricted to only a few agencies. Furthermore, this process has been a heterogeneous among federal and state entities in the country and is associated with IT capacities in the public sector.",Revista de Administração Pública,Geral,quantitativo,,,,,,,,,,
31,How does a populist government interpret and face a health crisis? Evidence from the Mexican populist response to COVID-19,"Renteria, Cesar; Arellano-Gault, David",2021,https://doi.org/10.1590/0034-761220200524,"Abstract In 2020, governments were faced with addressing the health crisis caused by the COVID-19 pandemic, without certainty about what would work best to reduce the health crisis without ruining the economy. Through all the uncertainty, national governments based their responses to COVID-19 on beliefs and political ideas, which was reflected on the diversity of the responses: liberal, authoritarian, centralized, decentralized, transparent, or opaque. In this article we focus on one of these responses, populism, and seek to understand how populist beliefs drive bureaucratic actions taken by a populist government to handle the health crisis. We conducted a comparative case study between the Mexican populist federal government and the non-populist Jalisco state government. Our findings suggest that the administrative actions chosen by the Mexican populist government were based on negative beliefs towards expert scientific knowledge from outside the government; a disinterest in searching for more information from distant or unfamiliar sources; and a strengthening of flagship programs as the main way to address the upcoming economic crisis. We also found that the Mexican government shows a peculiar manifestation of populism, which we refer as downsizing populism. Our article advances our understanding about how populism may affect the form and function of bureaucracies.",Revista de Administração Pública,Geral,metodos mistos,,,,,,,,,,
